trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,F,G,2,3,F,G,I would choose slot machine F.,0,1,-0.1,0.0
1,2,4,5,C,E,5,4,E,C,I would choose slot machine E.,1,1,0.0,0.1
2,0,0,1,A,H,0,1,A,H,I would choose slot machine H.,1,0,-1.0,0.0
3,1,2,3,F,G,3,2,G,F,I would choose slot machine G.,1,1,-0.1,0.0
4,1,2,3,F,G,3,2,G,F,I would choose slot machine G.,1,1,0.0,0.0
5,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,0.0,0.0
6,3,6,7,D,B,6,7,D,B,I would choose slot machine D.,0,1,0.0,0.0
7,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,-1.0,-1.0
8,1,2,3,F,G,2,3,F,G,I would choose slot machine G.,1,0,-0.1,0.0
9,3,6,7,D,B,7,6,B,D,I would choose slot machine D.,0,0,0.0,1.0
10,2,4,5,C,E,5,4,E,C,I would choose slot machine E.,1,1,0.0,0.1
11,2,4,5,C,E,4,5,C,E,I would choose slot machine E.,1,0,0.0,0.0
12,1,2,3,F,G,2,3,F,G,I would choose slot machine G.,1,0,-0.1,-0.1
13,3,6,7,D,B,6,7,D,B,I would choose slot machine D.,0,1,0.0,1.0
14,3,6,7,D,B,7,6,B,D,I would choose slot machine B.,1,1,1.0,1.0
15,1,2,3,F,G,2,3,F,G,I would choose slot machine G.,1,0,0.0,0.0
16,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,-1.0,0.0
17,1,2,3,F,G,2,3,F,G,I would choose slot machine G.,1,0,-0.1,0.0
18,3,6,7,D,B,6,7,D,B,I would choose slot machine B.,1,0,0.0,1.0
19,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,-1.0,-1.0
20,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,-1.0,0.0
21,3,6,7,D,B,7,6,B,D,I would choose slot machine B.,1,1,0.0,1.0
22,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,-1.0,0.0
23,2,4,5,C,E,5,4,E,C,I would choose slot machine E.,1,1,0.0,0.1
24,2,4,5,C,E,5,4,E,C,I would choose slot machine E.,1,1,0.0,0.1
25,1,2,3,F,G,3,2,G,F,I would choose slot machine G.,1,1,-0.1,0.0
26,2,4,5,C,E,4,5,C,E,I would choose slot machine E.,1,0,0.0,0.0
27,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,0.0,-1.0
28,3,6,7,D,B,7,6,B,D,I would choose slot machine B.,1,1,0.0,0.0
29,2,4,5,C,E,5,4,E,C,I would choose slot machine E.,1,1,0.0,0.1
30,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,-1.0,0.0
31,3,6,7,D,B,6,7,D,B,I would choose slot machine B.,1,0,1.0,1.0
32,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,-1.0,0.0
33,2,4,5,C,E,4,5,C,E,I would choose slot machine E.,1,0,0.1,0.1
34,1,2,3,F,G,3,2,G,F,I would choose slot machine G.,1,1,-0.1,0.0
35,2,4,5,C,E,5,4,E,C,I would choose slot machine E.,1,1,0.1,0.1
36,3,6,7,D,B,7,6,B,D,I would choose slot machine B.,1,1,0.0,1.0
37,3,6,7,D,B,6,7,D,B,I would choose slot machine B.,1,0,0.0,1.0
38,2,4,5,C,E,4,5,C,E,I would choose slot machine E.,1,0,0.0,0.1
39,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,-1.0,0.0
40,3,6,7,D,B,7,6,B,D,I would choose slot machine B.,1,1,0.0,1.0
