trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,3,6,7,B,C,6,7,B,C,I would choose slot machine B.,0,1,1.0,0.0
1,0,0,1,F,D,1,0,D,F,I would choose slot machine D.,1,1,-1.0,0.0
2,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,0.0,0.0
3,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,-1.0,0.0
4,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,0.0,-1.0
5,2,4,5,H,A,4,5,H,A,I would choose slot machine H.,0,1,0.0,0.1
6,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,-1.0,0.0
7,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,-1.0,0.0
8,3,6,7,B,C,7,6,C,B,I would choose slot machine B.,0,0,0.0,0.0
9,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.0,0.1
10,1,2,3,E,G,2,3,E,G,I would choose slot machine E.,0,1,-0.1,0.0
11,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.0,0.1
12,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,-1.0,0.0
13,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.1,0.1
14,3,6,7,B,C,7,6,C,B,I would choose slot machine B.,0,0,1.0,1.0
15,3,6,7,B,C,6,7,B,C,I would choose slot machine C.,1,0,0.0,1.0
16,3,6,7,B,C,7,6,C,B,I would choose slot machine C.,1,1,0.0,1.0
17,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,-0.1,0.0
18,0,0,1,F,D,1,0,D,F,I would choose slot machine D.,1,1,-1.0,-1.0
19,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,0.0,0.0
20,3,6,7,B,C,7,6,C,B,I would choose slot machine C.,1,1,0.0,0.0
21,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,-0.1,0.0
22,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,-0.1,0.0
23,3,6,7,B,C,7,6,C,B,I would choose slot machine C.,1,1,0.0,1.0
24,2,4,5,H,A,5,4,A,H,I would choose slot machine A.,1,1,0.0,0.1
25,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.0,0.1
26,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,-0.1,-0.1
27,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,-0.1,-0.1
28,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,0.0,-0.1
29,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.1,0.0
30,0,0,1,F,D,1,0,D,F,I would choose slot machine D.,1,1,-1.0,0.0
31,3,6,7,B,C,6,7,B,C,I would choose slot machine C.,1,0,0.0,1.0
32,0,0,1,F,D,0,1,F,D,I would choose slot machine D.,1,0,-1.0,0.0
33,3,6,7,B,C,7,6,C,B,I would choose slot machine C.,1,1,0.0,1.0
34,2,4,5,H,A,5,4,A,H,I would choose slot machine A.,1,1,0.0,0.1
35,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,0.0,0.0
36,0,0,1,F,D,1,0,D,F,I would choose slot machine D.,1,1,0.0,0.0
37,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,-0.1,0.0
38,3,6,7,B,C,7,6,C,B,I would choose slot machine C.,1,1,1.0,1.0
39,3,6,7,B,C,6,7,B,C,I would choose slot machine C.,1,0,0.0,1.0
40,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.0,0.0
41,1,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,-0.1,0.0
42,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.1,0.1
43,1,2,3,E,G,3,2,G,E,I would choose slot machine G.,1,1,-0.1,0.0
44,2,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.0,0.0
45,2,4,5,H,A,5,4,A,H,I would choose slot machine A.,1,1,0.0,0.1
46,3,6,7,B,C,6,7,B,C,I would choose slot machine C.,1,0,0.0,1.0
47,0,0,1,F,D,1,0,D,F,I would choose slot machine D.,1,1,-1.0,-1.0
0,99,0,1,F,D,1,0,D,F,I would choose slot machine D.,1,1,0.0,0.0
1,99,0,2,F,E,2,0,E,F,I would choose slot machine E.,1,1,0.0,0.0
2,99,0,3,F,G,0,3,F,G,I would choose slot machine G.,1,0,0.0,0.0
3,99,0,4,F,H,0,4,F,H,I would choose slot machine H.,1,0,0.0,0.0
4,99,0,5,F,A,0,5,F,A,I would choose slot machine A.,1,0,0.0,0.0
5,99,0,6,F,B,0,6,F,B,I would choose slot machine F.,0,1,0.0,0.0
6,99,0,7,F,C,0,7,F,C,I would choose slot machine C.,1,0,0.0,0.0
7,99,1,2,D,E,2,1,E,D,I would choose slot machine E.,1,1,0.0,0.0
8,99,1,3,D,G,1,3,D,G,I would choose slot machine G.,1,0,0.0,0.0
9,99,1,4,D,H,4,1,H,D,I would choose slot machine H.,1,1,0.0,0.0
10,99,1,5,D,A,1,5,D,A,I would choose slot machine A.,1,0,0.0,0.0
11,99,1,6,D,B,6,1,B,D,I would choose slot machine D.,0,0,0.0,0.0
12,99,1,7,D,C,1,7,D,C,I would choose slot machine C.,1,0,0.0,0.0
13,99,2,3,E,G,2,3,E,G,I would choose slot machine G.,1,0,0.0,0.0
14,99,2,4,E,H,4,2,H,E,I would choose slot machine H.,1,1,0.0,0.0
15,99,2,5,E,A,5,2,A,E,I would choose slot machine A.,1,1,0.0,0.0
16,99,2,6,E,B,6,2,B,E,I would choose slot machine B.,1,1,0.0,0.0
17,99,2,7,E,C,2,7,E,C,I would choose slot machine C.,1,0,0.0,0.0
18,99,3,4,G,H,4,3,H,G,I would choose slot machine G.,0,0,0.0,0.0
19,99,3,5,G,A,5,3,A,G,I would choose slot machine A.,1,1,0.0,0.0
20,99,3,6,G,B,3,6,G,B,I would choose slot machine G.,0,1,0.0,0.0
21,99,3,7,G,C,7,3,C,G,I would choose slot machine C.,1,1,0.0,0.0
22,99,4,5,H,A,4,5,H,A,I would choose slot machine A.,1,0,0.0,0.0
23,99,4,6,H,B,4,6,H,B,I would choose slot machine H.,0,1,0.0,0.0
24,99,4,7,H,C,4,7,H,C,I would choose slot machine C.,1,0,0.0,0.0
25,99,5,6,A,B,5,6,A,B,I would choose slot machine A.,0,1,0.0,0.0
26,99,5,7,A,C,5,7,A,C,I would choose slot machine C.,1,0,0.0,0.0
27,99,6,7,B,C,6,7,B,C,I would choose slot machine C.,1,0,0.0,0.0
