trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,H,B,4,5,H,B,I would choose slot machine H.,0,1,28.0,27.0
1,0,0,1,E,D,0,1,E,D,I would choose slot machine E.,0,1,20.0,25.0
2,3,6,7,F,C,7,6,C,F,I would choose slot machine C.,1,1,29.0,34.0
3,0,0,1,E,D,1,0,D,E,I would choose slot machine E.,0,0,20.0,25.0
4,3,6,7,F,C,6,7,F,C,I would choose slot machine C.,1,0,29.0,34.0
5,2,4,5,H,B,4,5,H,B,I would choose slot machine H.,0,1,28.0,42.0
6,2,4,5,H,B,4,5,H,B,I would choose slot machine B.,1,0,28.0,27.0
7,1,2,3,A,G,3,2,G,A,I would choose slot machine G.,1,1,27.0,26.0
8,0,0,1,E,D,0,1,E,D,I would choose slot machine E.,0,1,20.0,25.0
9,1,2,3,A,G,3,2,G,A,I would choose slot machine G.,1,1,27.0,26.0
10,3,6,7,F,C,6,7,F,C,I would choose slot machine C.,1,0,29.0,34.0
11,3,6,7,F,C,7,6,C,F,I would choose slot machine C.,1,1,29.0,34.0
12,3,6,7,F,C,7,6,C,F,I would choose slot machine C.,1,1,29.0,34.0
13,1,2,3,A,G,3,2,G,A,I would choose slot machine G.,1,1,12.0,26.0
14,2,4,5,H,B,5,4,B,H,I would choose slot machine H.,0,0,28.0,27.0
15,3,6,7,F,C,6,7,F,C,I would choose slot machine F.,0,1,29.0,34.0
16,1,2,3,A,G,3,2,G,A,I would choose slot machine G.,1,1,27.0,26.0
17,2,4,5,H,B,4,5,H,B,I would choose slot machine H.,0,1,28.0,42.0
18,1,2,3,A,G,2,3,A,G,I would choose slot machine G.,1,0,27.0,26.0
19,0,0,1,E,D,0,1,E,D,I would choose slot machine E.,0,1,20.0,25.0
20,0,0,1,E,D,1,0,D,E,I would choose slot machine E.,0,0,20.0,25.0
21,0,0,1,E,D,0,1,E,D,I would choose slot machine E.,0,1,20.0,25.0
22,1,2,3,A,G,2,3,A,G,I would choose slot machine G.,1,0,27.0,26.0
23,3,6,7,F,C,6,7,F,C,I would choose slot machine C.,1,0,29.0,34.0
