trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,0,0,-99,1,E,--,J,1,-99,0,J,--,E,I would choose slot machine J.,1,1,13,0,44
1,3,7,8,9,F,C,B,9,7,8,B,F,C,I would choose slot machine B.,1,1,15,48,84
2,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,14,0,51
3,0,0,-99,1,E,--,J,1,-99,0,J,--,E,I would choose slot machine J.,1,1,12,0,49
4,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,16,0,49
5,3,7,8,9,F,C,B,9,7,8,B,F,C,I would choose slot machine B.,1,1,15,47,84
6,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,17,0,48
7,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,14,0,50
8,2,5,-99,6,D,--,A,5,-99,6,D,--,A,I would choose slot machine D.,0,1,16,0,85
9,3,7,8,9,F,C,B,9,7,8,B,F,C,I would choose slot machine B.,1,1,16,52,87
10,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,16,0,52
11,1,2,3,4,H,G,I,4,2,3,I,H,G,I would choose slot machine I.,1,1,13,34,52
12,1,2,3,4,H,G,I,4,2,3,I,H,G,I would choose slot machine I.,1,1,17,30,51
13,1,2,3,4,H,G,I,3,4,2,G,I,H,I would choose slot machine I.,1,0,17,32,48
14,2,5,-99,6,D,--,A,6,-99,5,A,--,D,I would choose slot machine A.,1,1,10,0,88
15,2,5,-99,6,D,--,A,5,-99,6,D,--,A,I would choose slot machine A.,1,0,15,0,90
16,3,7,8,9,F,C,B,9,7,8,B,F,C,I would choose slot machine B.,1,1,13,52,85
17,3,7,8,9,F,C,B,7,9,8,F,B,C,I would choose slot machine B.,1,0,15,47,87
18,3,7,8,9,F,C,B,9,7,8,B,F,C,I would choose slot machine B.,1,1,15,53,85
19,2,5,-99,6,D,--,A,6,-99,5,A,--,D,I would choose slot machine A.,1,1,14,0,87
20,1,2,3,4,H,G,I,2,3,4,H,G,I,I would choose slot machine I.,1,0,17,33,49
21,3,7,8,9,F,C,B,8,9,7,C,B,F,I would choose slot machine B.,1,0,14,50,86
22,2,5,-99,6,D,--,A,6,-99,5,A,--,D,I would choose slot machine A.,1,1,16,0,86
