trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,1,2,3,4,D,I,B,4,3,2,B,I,D,I would choose slot machine B.,1,1,14,29,50
1,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,16,0,55
2,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine G.,0,1,13,0,86
3,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,14,0,50
4,3,7,8,9,A,C,J,7,9,8,A,J,C,I would choose slot machine A.,0,1,14,52,80
5,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,12,0,86
6,3,7,8,9,A,C,J,7,9,8,A,J,C,I would choose slot machine J.,1,0,12,50,84
7,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,14,0,50
8,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,10,0,85
9,3,7,8,9,A,C,J,8,9,7,C,J,A,I would choose slot machine J.,1,0,13,53,86
10,1,2,3,4,D,I,B,2,3,4,D,I,B,I would choose slot machine B.,1,0,12,33,48
11,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,14,0,46
12,0,0,-99,1,E,--,F,0,-99,1,E,--,F,I would choose slot machine F.,1,0,14,0,52
13,1,2,3,4,D,I,B,3,4,2,I,B,D,I would choose slot machine B.,1,0,15,30,53
14,3,7,8,9,A,C,J,7,9,8,A,J,C,I would choose slot machine J.,1,0,12,45,85
15,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,12,0,53
16,3,7,8,9,A,C,J,8,9,7,C,J,A,I would choose slot machine J.,1,0,11,46,84
17,1,2,3,4,D,I,B,4,2,3,B,D,I,I would choose slot machine B.,1,1,12,29,50
18,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,12,0,84
19,1,2,3,4,D,I,B,2,4,3,D,B,I,I would choose slot machine B.,1,0,15,33,48
20,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,13,0,47
21,3,7,8,9,A,C,J,8,9,7,C,J,A,I would choose slot machine J.,1,0,13,48,85
22,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,16,0,49
23,3,7,8,9,A,C,J,8,7,9,C,A,J,I would choose slot machine J.,1,0,13,49,86
24,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,15,0,46
25,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,9,0,85
26,3,7,8,9,A,C,J,7,9,8,A,J,C,I would choose slot machine J.,1,0,15,50,89
27,3,7,8,9,A,C,J,9,7,8,J,A,C,I would choose slot machine J.,1,1,14,49,86
28,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,15,0,82
29,3,7,8,9,A,C,J,8,7,9,C,A,J,I would choose slot machine J.,1,0,10,50,85
30,1,2,3,4,D,I,B,2,3,4,D,I,B,I would choose slot machine B.,1,0,11,31,53
31,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,11,0,89
32,0,0,-99,1,E,--,F,0,-99,1,E,--,F,I would choose slot machine F.,1,0,13,0,49
33,1,2,3,4,D,I,B,4,2,3,B,D,I,I would choose slot machine B.,1,1,13,32,45
34,3,7,8,9,A,C,J,9,8,7,J,C,A,I would choose slot machine J.,1,1,13,47,87
35,1,2,3,4,D,I,B,2,3,4,D,I,B,I would choose slot machine B.,1,0,12,32,51
36,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,15,0,48
37,1,2,3,4,D,I,B,4,3,2,B,I,D,I would choose slot machine B.,1,1,14,32,51
38,1,2,3,4,D,I,B,2,3,4,D,I,B,I would choose slot machine B.,1,0,12,31,50
39,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,13,0,85
40,0,0,-99,1,E,--,F,0,-99,1,E,--,F,I would choose slot machine F.,1,0,14,0,51
41,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,11,0,85
42,1,2,3,4,D,I,B,3,4,2,I,B,D,I would choose slot machine B.,1,0,12,30,50
43,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,12,0,86
44,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,13,0,83
45,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,13,0,86
46,3,7,8,9,A,C,J,9,7,8,J,A,C,I would choose slot machine J.,1,1,12,50,87
47,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,10,0,84
48,1,2,3,4,D,I,B,2,3,4,D,I,B,I would choose slot machine B.,1,0,16,30,50
49,3,7,8,9,A,C,J,7,9,8,A,J,C,I would choose slot machine J.,1,0,14,52,84
50,3,7,8,9,A,C,J,9,7,8,J,A,C,I would choose slot machine J.,1,1,17,46,83
51,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,16,0,52
52,1,2,3,4,D,I,B,2,4,3,D,B,I,I would choose slot machine B.,1,0,13,30,49
53,0,0,-99,1,E,--,F,1,-99,0,F,--,E,I would choose slot machine F.,1,1,15,0,50
54,0,0,-99,1,E,--,F,0,-99,1,E,--,F,I would choose slot machine F.,1,0,15,0,51
55,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,18,0,85
56,1,2,3,4,D,I,B,3,4,2,I,B,D,I would choose slot machine B.,1,0,13,32,53
57,1,2,3,4,D,I,B,4,2,3,B,D,I,I would choose slot machine B.,1,1,10,31,49
58,3,7,8,9,A,C,J,7,8,9,A,C,J,I would choose slot machine J.,1,0,16,47,87
59,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,11,0,89
0,99,0,-99,1,E,--,F,0,-99,1,E,--,F,I would choose slot machine F.,1,0,0,0,0
1,99,0,-99,2,E,--,D,2,-99,0,D,--,E,I would choose slot machine D.,1,1,0,0,0
2,99,0,-99,3,E,--,I,0,-99,3,E,--,I,I would choose slot machine I.,1,0,0,0,0
3,99,0,-99,4,E,--,B,0,-99,4,E,--,B,I would choose slot machine B.,1,0,0,0,0
4,99,0,-99,5,E,--,G,0,-99,5,E,--,G,I would choose slot machine E.,0,1,0,0,0
5,99,0,-99,6,E,--,H,0,-99,6,E,--,H,I would choose slot machine H.,1,0,0,0,0
6,99,0,-99,7,E,--,A,7,-99,0,A,--,E,I would choose slot machine E.,0,0,0,0,0
7,99,0,-99,8,E,--,C,0,-99,8,E,--,C,I would choose slot machine C.,1,0,0,0,0
8,99,0,-99,9,E,--,J,9,-99,0,J,--,E,I would choose slot machine J.,1,1,0,0,0
9,99,1,-99,2,F,--,D,1,-99,2,F,--,D,I would choose slot machine F.,0,1,0,0,0
10,99,1,-99,3,F,--,I,1,-99,3,F,--,I,I would choose slot machine F.,0,1,0,0,0
11,99,1,-99,4,F,--,B,1,-99,4,F,--,B,I would choose slot machine F.,0,1,0,0,0
12,99,1,-99,5,F,--,G,1,-99,5,F,--,G,I would choose slot machine F.,0,1,0,0,0
13,99,1,-99,6,F,--,H,6,-99,1,H,--,F,I would choose slot machine H.,1,1,0,0,0
14,99,1,-99,7,F,--,A,7,-99,1,A,--,F,I would choose slot machine F.,0,0,0,0,0
15,99,1,-99,8,F,--,C,8,-99,1,C,--,F,I would choose slot machine F.,0,0,0,0,0
16,99,1,-99,9,F,--,J,9,-99,1,J,--,F,I would choose slot machine J.,1,1,0,0,0
17,99,2,-99,3,D,--,I,3,-99,2,I,--,D,I would choose slot machine I.,1,1,0,0,0
18,99,2,-99,4,D,--,B,4,-99,2,B,--,D,I would choose slot machine B.,1,1,0,0,0
19,99,2,-99,5,D,--,G,5,-99,2,G,--,D,I would choose slot machine D.,0,0,0,0,0
20,99,2,-99,6,D,--,H,6,-99,2,H,--,D,I would choose slot machine H.,1,1,0,0,0
21,99,2,-99,7,D,--,A,2,-99,7,D,--,A,I would choose slot machine A.,1,0,0,0,0
22,99,2,-99,8,D,--,C,8,-99,2,C,--,D,I would choose slot machine C.,1,1,0,0,0
23,99,2,-99,9,D,--,J,9,-99,2,J,--,D,I would choose slot machine J.,1,1,0,0,0
24,99,3,-99,4,I,--,B,3,-99,4,I,--,B,I would choose slot machine B.,1,0,0,0,0
25,99,3,-99,5,I,--,G,3,-99,5,I,--,G,I would choose slot machine I.,0,1,0,0,0
26,99,3,-99,6,I,--,H,6,-99,3,H,--,I,I would choose slot machine H.,1,1,0,0,0
27,99,3,-99,7,I,--,A,7,-99,3,A,--,I,I would choose slot machine I.,0,0,0,0,0
28,99,3,-99,8,I,--,C,3,-99,8,I,--,C,I would choose slot machine C.,1,0,0,0,0
29,99,3,-99,9,I,--,J,3,-99,9,I,--,J,I would choose slot machine J.,1,0,0,0,0
30,99,4,-99,5,B,--,G,4,-99,5,B,--,G,I would choose slot machine B.,0,1,0,0,0
31,99,4,-99,6,B,--,H,4,-99,6,B,--,H,I would choose slot machine H.,1,0,0,0,0
32,99,4,-99,7,B,--,A,7,-99,4,A,--,B,I would choose slot machine B.,0,0,0,0,0
33,99,4,-99,8,B,--,C,4,-99,8,B,--,C,I would choose slot machine B.,0,1,0,0,0
34,99,4,-99,9,B,--,J,4,-99,9,B,--,J,I would choose slot machine J.,1,0,0,0,0
35,99,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,0,0,0
36,99,5,-99,7,G,--,A,7,-99,5,A,--,G,I would choose slot machine A.,1,1,0,0,0
37,99,5,-99,8,G,--,C,5,-99,8,G,--,C,I would choose slot machine C.,1,0,0,0,0
38,99,5,-99,9,G,--,J,9,-99,5,J,--,G,I would choose slot machine J.,1,1,0,0,0
39,99,6,-99,7,H,--,A,6,-99,7,H,--,A,I would choose slot machine H.,0,1,0,0,0
40,99,6,-99,8,H,--,C,6,-99,8,H,--,C,I would choose slot machine H.,0,1,0,0,0
41,99,6,-99,9,H,--,J,6,-99,9,H,--,J,I would choose slot machine H.,0,1,0,0,0
42,99,7,-99,8,A,--,C,7,-99,8,A,--,C,I would choose slot machine C.,1,0,0,0,0
43,99,7,-99,9,A,--,J,7,-99,9,A,--,J,I would choose slot machine J.,1,0,0,0,0
44,99,8,-99,9,C,--,J,8,-99,9,C,--,J,I would choose slot machine J.,1,0,0,0,0
