trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,14,0,50
1,2,5,-99,6,A,--,J,6,-99,5,J,--,A,I would choose slot machine J.,1,1,13,0,87
2,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,12,0,83
3,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,14,0,50
4,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,13,0,49
5,1,2,3,4,E,F,I,3,4,2,F,I,E,I would choose slot machine F.,0,1,9,31,51
6,3,7,8,9,B,D,H,9,8,7,H,D,B,I would choose slot machine H.,1,1,12,49,84
7,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,13,0,50
8,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,16,0,49
9,1,2,3,4,E,F,I,4,2,3,I,E,F,I would choose slot machine I.,1,1,9,30,49
10,3,7,8,9,B,D,H,8,9,7,D,H,B,I would choose slot machine H.,1,0,11,53,86
11,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,13,0,47
12,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,15,0,85
13,1,2,3,4,E,F,I,3,2,4,F,E,I,I would choose slot machine I.,1,0,16,35,47
14,1,2,3,4,E,F,I,4,2,3,I,E,F,I would choose slot machine I.,1,1,14,33,53
15,3,7,8,9,B,D,H,9,7,8,H,B,D,I would choose slot machine H.,1,1,14,47,86
16,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,13,0,51
17,3,7,8,9,B,D,H,8,9,7,D,H,B,I would choose slot machine H.,1,0,11,50,84
18,3,7,8,9,B,D,H,8,7,9,D,B,H,I would choose slot machine H.,1,0,11,46,86
19,1,2,3,4,E,F,I,4,2,3,I,E,F,I would choose slot machine I.,1,1,14,31,48
20,2,5,-99,6,A,--,J,6,-99,5,J,--,A,I would choose slot machine J.,1,1,16,0,84
21,1,2,3,4,E,F,I,2,3,4,E,F,I,I would choose slot machine I.,1,0,9,38,49
22,1,2,3,4,E,F,I,4,3,2,I,F,E,I would choose slot machine I.,1,1,15,34,48
23,1,2,3,4,E,F,I,4,2,3,I,E,F,I would choose slot machine I.,1,1,10,32,50
24,3,7,8,9,B,D,H,7,9,8,B,H,D,I would choose slot machine H.,1,0,13,48,83
25,2,5,-99,6,A,--,J,6,-99,5,J,--,A,I would choose slot machine J.,1,1,10,0,86
26,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,14,0,84
27,3,7,8,9,B,D,H,7,8,9,B,D,H,I would choose slot machine H.,1,0,14,48,84
28,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,10,0,87
29,1,2,3,4,E,F,I,2,3,4,E,F,I,I would choose slot machine I.,1,0,11,30,50
30,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,14,0,90
31,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,9,0,87
32,3,7,8,9,B,D,H,9,7,8,H,B,D,I would choose slot machine H.,1,1,16,51,89
33,3,7,8,9,B,D,H,9,7,8,H,B,D,I would choose slot machine H.,1,1,14,48,88
34,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,15,0,52
35,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,14,0,87
36,3,7,8,9,B,D,H,7,8,9,B,D,H,I would choose slot machine H.,1,0,11,48,87
37,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,14,0,50
38,1,2,3,4,E,F,I,3,2,4,F,E,I,I would choose slot machine I.,1,0,14,34,51
39,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,13,0,50
40,3,7,8,9,B,D,H,8,9,7,D,H,B,I would choose slot machine H.,1,0,16,49,90
41,3,7,8,9,B,D,H,7,8,9,B,D,H,I would choose slot machine H.,1,0,12,48,85
42,1,2,3,4,E,F,I,2,4,3,E,I,F,I would choose slot machine I.,1,0,12,30,50
43,3,7,8,9,B,D,H,7,9,8,B,H,D,I would choose slot machine H.,1,0,13,52,87
44,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,13,0,48
45,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,15,0,82
46,1,2,3,4,E,F,I,2,3,4,E,F,I,I would choose slot machine I.,1,0,12,32,49
47,3,7,8,9,B,D,H,8,9,7,D,H,B,I would choose slot machine H.,1,0,12,52,85
48,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,14,0,50
49,1,2,3,4,E,F,I,4,3,2,I,F,E,I would choose slot machine I.,1,1,17,32,49
50,3,7,8,9,B,D,H,8,9,7,D,H,B,I would choose slot machine H.,1,0,13,52,88
51,2,5,-99,6,A,--,J,6,-99,5,J,--,A,I would choose slot machine J.,1,1,14,0,82
52,0,0,-99,1,C,--,G,0,-99,1,C,--,G,I would choose slot machine G.,1,0,12,0,49
53,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,14,0,86
54,1,2,3,4,E,F,I,2,4,3,E,I,F,I would choose slot machine I.,1,0,17,32,50
55,1,2,3,4,E,F,I,2,4,3,E,I,F,I would choose slot machine I.,1,0,14,29,47
56,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,13,0,48
57,2,5,-99,6,A,--,J,5,-99,6,A,--,J,I would choose slot machine J.,1,0,14,0,84
58,0,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,14,0,51
59,2,5,-99,6,A,--,J,6,-99,5,J,--,A,I would choose slot machine J.,1,1,11,0,85
0,99,0,-99,1,C,--,G,1,-99,0,G,--,C,I would choose slot machine G.,1,1,0,0,0
1,99,0,-99,2,C,--,E,2,-99,0,E,--,C,I would choose slot machine E.,1,1,0,0,0
2,99,0,-99,3,C,--,F,3,-99,0,F,--,C,I would choose slot machine F.,1,1,0,0,0
3,99,0,-99,4,C,--,I,4,-99,0,I,--,C,I would choose slot machine I.,1,1,0,0,0
4,99,0,-99,5,C,--,A,0,-99,5,C,--,A,I would choose slot machine A.,1,0,0,0,0
5,99,0,-99,6,C,--,J,6,-99,0,J,--,C,I would choose slot machine J.,1,1,0,0,0
6,99,0,-99,7,C,--,B,7,-99,0,B,--,C,I would choose slot machine B.,1,1,0,0,0
7,99,0,-99,8,C,--,D,0,-99,8,C,--,D,I would choose slot machine D.,1,0,0,0,0
8,99,0,-99,9,C,--,H,0,-99,9,C,--,H,I would choose slot machine H.,1,0,0,0,0
