trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,B,C,0,1,B,C,"Slot machine B gives 1 point with a probability of 0.8, otherwise 0 points.
Slot machine C gives 1 point with a probability of 0.5, otherwise 0 points.

I would choose slot machine B.",0,1,0.0,1.0
1,0,0,1,B,C,0,1,B,C,I would choose slot machine C.,1,0,0.0,0.0
2,1,2,3,A,D,2,3,A,D,I would choose slot machine A.,0,1,0.0,1.0
3,0,0,1,B,C,1,0,C,B,I would choose slot machine C.,1,1,0.0,0.0
4,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
5,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,0.0,1.0
6,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
7,0,0,1,B,C,1,0,C,B,I would choose slot machine C.,1,1,0.0,0.0
8,0,0,1,B,C,0,1,B,C,I would choose slot machine B.,0,1,0.0,1.0
9,1,2,3,A,D,2,3,A,D,I would choose slot machine D.,1,0,1.0,1.0
10,0,0,1,B,C,0,1,B,C,I would choose slot machine C.,1,0,0.0,0.0
11,0,0,1,B,C,1,0,C,B,I would choose slot machine C.,1,1,0.0,1.0
12,1,2,3,A,D,2,3,A,D,I would choose slot machine D.,1,0,0.0,1.0
13,1,2,3,A,D,2,3,A,D,I would choose slot machine D.,1,0,1.0,1.0
14,0,0,1,B,C,0,1,B,C,I would choose slot machine B.,0,1,0.0,0.0
15,1,2,3,A,D,2,3,A,D,I would choose slot machine D.,1,0,1.0,1.0
16,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,0.0,1.0
17,0,0,1,B,C,1,0,C,B,I would choose slot machine C.,1,1,0.0,0.0
18,1,2,3,A,D,2,3,A,D,I would choose slot machine D.,1,0,1.0,1.0
19,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,0.0,1.0
20,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
21,0,0,1,B,C,0,1,B,C,I would choose slot machine B.,0,1,0.0,1.0
22,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
23,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
24,1,2,3,A,D,2,3,A,D,I would choose slot machine D.,1,0,1.0,0.0
25,0,0,1,B,C,1,0,C,B,I would choose slot machine C.,1,1,1.0,0.0
26,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
27,0,0,1,B,C,0,1,B,C,I would choose slot machine B.,0,1,0.0,0.0
28,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
29,1,2,3,A,D,3,2,D,A,I would choose slot machine D.,1,1,1.0,1.0
30,0,0,1,B,C,0,1,B,C,I would choose slot machine B.,0,1,0.0,1.0
31,0,0,1,B,C,0,1,B,C,I would choose slot machine B.,0,1,0.0,0.0
