trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,27,29
1,1,2,3,D,F,2,3,D,F,I would choose slot machine D.,0,1,20,22
2,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,33,35
3,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,27,31
4,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,14,17
5,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,19,25
6,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,27,30
7,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,32,35
8,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,26,29
9,1,2,3,D,F,2,3,D,F,I would choose slot machine F.,1,0,22,22
10,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,13,16
11,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,27,29
12,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,27,29
13,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,32,37
14,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,14,18
15,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,21,24
16,1,2,3,D,F,2,3,D,F,I would choose slot machine F.,1,0,22,24
17,1,2,3,D,F,2,3,D,F,I would choose slot machine F.,1,0,20,25
18,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,32,35
19,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,14,17
20,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,26,28
21,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,14,18
22,1,2,3,D,F,2,3,D,F,I would choose slot machine F.,1,0,22,26
23,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,14,17
24,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,26,32
25,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,13,19
26,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,33,37
27,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,20,23
28,1,2,3,D,F,2,3,D,F,I would choose slot machine F.,1,0,20,25
29,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,32,36
30,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,20,21
31,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,15,18
32,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,14,17
33,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,32,36
34,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,13,17
35,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,21,23
36,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,32,35
37,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,25,29
38,1,2,3,D,F,2,3,D,F,I would choose slot machine F.,1,0,20,24
39,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,15,17
40,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,28,30
41,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,25,29
42,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,14,17
43,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,25,30
44,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,20,24
45,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,27,29
46,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,34,35
47,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,32,34
48,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,34,35
49,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,33,35
50,2,4,5,E,H,5,4,H,E,I would choose slot machine H.,1,1,27,29
51,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,31,36
52,0,0,1,C,G,1,0,G,C,I would choose slot machine G.,1,1,16,16
53,2,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,25,30
54,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,20,23
55,3,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,31,35
56,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,13,18
57,0,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,15,17
58,3,6,7,B,A,6,7,B,A,I would choose slot machine A.,1,0,31,36
59,1,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,21,24
0,99,0,1,C,G,0,1,C,G,I would choose slot machine G.,1,0,0,0
1,99,0,2,C,D,2,0,D,C,I would choose slot machine D.,1,1,0,0
2,99,0,3,C,F,0,3,C,F,I would choose slot machine F.,1,0,0,0
3,99,0,4,C,E,4,0,E,C,I would choose slot machine E.,1,1,0,0
4,99,0,5,C,H,5,0,H,C,I would choose slot machine H.,1,1,0,0
5,99,0,6,C,B,6,0,B,C,I would choose slot machine B.,1,1,0,0
6,99,0,7,C,A,7,0,A,C,I would choose slot machine A.,1,1,0,0
7,99,1,2,G,D,1,2,G,D,I would choose slot machine G.,0,1,0,0
8,99,1,3,G,F,3,1,F,G,I would choose slot machine F.,1,1,0,0
9,99,1,4,G,E,1,4,G,E,I would choose slot machine G.,0,1,0,0
10,99,1,5,G,H,5,1,H,G,I would choose slot machine H.,1,1,0,0
11,99,1,6,G,B,6,1,B,G,I would choose slot machine G.,0,0,0,0
12,99,1,7,G,A,7,1,A,G,I would choose slot machine A.,1,1,0,0
13,99,2,3,D,F,3,2,F,D,I would choose slot machine F.,1,1,0,0
14,99,2,4,D,E,2,4,D,E,I would choose slot machine E.,1,0,0,0
15,99,2,5,D,H,2,5,D,H,I would choose slot machine H.,1,0,0,0
16,99,2,6,D,B,2,6,D,B,I would choose slot machine D.,0,1,0,0
17,99,2,7,D,A,2,7,D,A,I would choose slot machine A.,1,0,0,0
18,99,3,4,F,E,4,3,E,F,I would choose slot machine E.,1,1,0,0
19,99,3,5,F,H,5,3,H,F,I would choose slot machine H.,1,1,0,0
20,99,3,6,F,B,3,6,F,B,I would choose slot machine F.,0,1,0,0
21,99,3,7,F,A,7,3,A,F,I would choose slot machine A.,1,1,0,0
22,99,4,5,E,H,4,5,E,H,I would choose slot machine H.,1,0,0,0
23,99,4,6,E,B,6,4,B,E,I would choose slot machine B.,1,1,0,0
24,99,4,7,E,A,7,4,A,E,I would choose slot machine A.,1,1,0,0
25,99,5,6,H,B,6,5,B,H,I would choose slot machine H.,0,0,0,0
26,99,5,7,H,A,5,7,H,A,I would choose slot machine A.,1,0,0,0
27,99,6,7,B,A,7,6,A,B,I would choose slot machine A.,1,1,0,0
