trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,16,18
1,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,21,25
2,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,21,24
3,2,4,5,E,C,4,5,E,C,I would choose slot machine E.,0,1,26,30
4,2,4,5,E,C,5,4,C,E,I would choose slot machine C.,1,1,26,29
5,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,31,36
6,2,4,5,E,C,4,5,E,C,I would choose slot machine E.,0,1,26,29
7,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,21,22
8,0,0,1,A,H,0,1,A,H,I would choose slot machine H.,1,0,13,18
9,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,26,29
10,2,4,5,E,C,4,5,E,C,I would choose slot machine E.,0,1,27,30
11,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,15,17
12,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,20,23
13,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,21,23
14,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,28,28
15,0,0,1,A,H,0,1,A,H,I would choose slot machine H.,1,0,15,17
16,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,27,31
17,0,0,1,A,H,0,1,A,H,I would choose slot machine H.,1,0,15,17
18,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,27,29
19,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,27,31
20,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,33,36
21,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,32,35
22,2,4,5,E,C,4,5,E,C,I would choose slot machine E.,0,1,27,30
23,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,19,23
24,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,15,17
25,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,21,22
26,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,16,19
27,2,4,5,E,C,4,5,E,C,I would choose slot machine E.,0,1,25,30
28,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,31,35
29,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,15,17
30,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,21,25
31,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,33,38
32,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,31,37
33,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,18,24
34,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,15,19
35,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,14,18
36,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,20,24
37,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,12,16
38,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,16,19
39,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,20,23
40,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,34,34
41,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,34,36
42,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,34,34
43,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,18,25
44,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,31,36
45,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,32,36
46,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,14,18
47,2,4,5,E,C,4,5,E,C,I would choose slot machine E.,0,1,26,30
48,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,32,35
49,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,25,30
50,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,27,28
51,1,2,3,D,G,3,2,G,D,I would choose slot machine G.,1,1,19,23
52,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,32,36
53,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,20,23
54,2,4,5,E,C,5,4,C,E,I would choose slot machine E.,0,0,27,29
55,0,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,15,17
56,3,6,7,F,B,7,6,B,F,I would choose slot machine B.,1,1,32,35
57,1,2,3,D,G,2,3,D,G,I would choose slot machine G.,1,0,20,26
58,0,0,1,A,H,0,1,A,H,I would choose slot machine A.,0,1,14,17
59,3,6,7,F,B,6,7,F,B,I would choose slot machine F.,0,1,32,36
0,99,0,1,A,H,1,0,H,A,I would choose slot machine H.,1,1,0,0
1,99,0,2,A,D,2,0,D,A,I would choose slot machine D.,1,1,0,0
