trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,D,E,4,5,D,E,"Slot machine D has a 30% chance of winning $10, a 60% chance of winning $0, and a 10% chance of losing $5.
Slot machine E has a 40% chance of winning $8, a 50% chance of winning $0, and a 10% chance of losing $4.

I would choose slot machine D.",0,1,0.1,0.1
1,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,0.0,1.0
2,2,4,5,D,E,4,5,D,E,I would choose slot machine D.,0,1,0.0,0.1
3,3,6,7,H,G,6,7,H,G,I would choose slot machine G.,1,0,1.0,0.0
4,2,4,5,D,E,5,4,E,D,I would choose slot machine E.,1,1,0.0,0.1
5,0,0,1,B,F,0,1,B,F,I would choose slot machine B.,0,1,-1.0,0.0
6,2,4,5,D,E,4,5,D,E,I would choose slot machine E.,1,0,0.0,0.0
7,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,0.0,0.0
8,2,4,5,D,E,5,4,E,D,I would choose slot machine E.,1,1,0.0,0.0
9,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,0.0,1.0
10,2,4,5,D,E,5,4,E,D,I would choose slot machine E.,1,1,0.1,0.1
11,0,0,1,B,F,0,1,B,F,I would choose slot machine F.,1,0,-1.0,-1.0
12,0,0,1,B,F,1,0,F,B,I would choose slot machine F.,1,1,-1.0,0.0
13,1,2,3,A,C,2,3,A,C,I would choose slot machine A.,0,1,-0.1,-0.1
14,0,0,1,B,F,0,1,B,F,I would choose slot machine F.,1,0,-1.0,0.0
15,1,2,3,A,C,2,3,A,C,I would choose slot machine A.,0,1,0.0,0.0
16,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,0.0,1.0
17,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,0.0,1.0
18,3,6,7,H,G,6,7,H,G,I would choose slot machine G.,1,0,0.0,1.0
19,0,0,1,B,F,1,0,F,B,I would choose slot machine F.,1,1,0.0,0.0
20,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,0.0,1.0
21,3,6,7,H,G,6,7,H,G,I would choose slot machine G.,1,0,1.0,0.0
22,1,2,3,A,C,3,2,C,A,I would choose slot machine C.,1,1,-0.1,-0.1
23,0,0,1,B,F,1,0,F,B,I would choose slot machine F.,1,1,-1.0,-1.0
24,0,0,1,B,F,0,1,B,F,I would choose slot machine B.,0,1,-1.0,-1.0
25,1,2,3,A,C,2,3,A,C,I would choose slot machine A.,0,1,-0.1,-0.1
26,0,0,1,B,F,1,0,F,B,I would choose slot machine F.,1,1,-1.0,0.0
27,1,2,3,A,C,3,2,C,A,I would choose slot machine C.,1,1,-0.1,0.0
28,2,4,5,D,E,4,5,D,E,I would choose slot machine E.,1,0,0.0,0.1
29,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,0.0,1.0
30,0,0,1,B,F,1,0,F,B,I would choose slot machine F.,1,1,-1.0,0.0
31,0,0,1,B,F,1,0,F,B,I would choose slot machine F.,1,1,-1.0,0.0
