trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,E,C,F,8,7,9,C,E,F,I would choose slot machine F.,1,0,15,52,87
1,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine I.,0,0,16,0,49
2,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine G.,0,1,14,0,83
3,0,0,-99,1,I,--,B,0,-99,1,I,--,B,I would choose slot machine B.,1,0,15,0,47
4,1,2,3,4,D,A,J,4,2,3,J,D,A,I would choose slot machine J.,1,1,12,32,48
5,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,13,0,51
6,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,14,0,85
7,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,18,0,89
8,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,13,0,49
9,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,13,0,52
10,3,7,8,9,E,C,F,9,8,7,F,C,E,I would choose slot machine F.,1,1,19,52,83
11,3,7,8,9,E,C,F,8,7,9,C,E,F,I would choose slot machine F.,1,0,13,47,86
12,1,2,3,4,D,A,J,4,2,3,J,D,A,I would choose slot machine J.,1,1,13,33,50
13,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,14,0,48
14,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,13,0,86
15,0,0,-99,1,I,--,B,0,-99,1,I,--,B,I would choose slot machine B.,1,0,11,0,49
16,1,2,3,4,D,A,J,2,4,3,D,J,A,I would choose slot machine J.,1,0,11,35,48
17,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,15,0,50
18,3,7,8,9,E,C,F,8,9,7,C,F,E,I would choose slot machine F.,1,0,12,50,84
19,2,5,-99,6,G,--,H,5,-99,6,G,--,H,I would choose slot machine H.,1,0,12,0,83
20,3,7,8,9,E,C,F,8,9,7,C,F,E,I would choose slot machine F.,1,0,16,51,87
21,0,0,-99,1,I,--,B,0,-99,1,I,--,B,I would choose slot machine B.,1,0,11,0,49
22,3,7,8,9,E,C,F,7,9,8,E,F,C,I would choose slot machine F.,1,0,17,47,86
23,1,2,3,4,D,A,J,4,2,3,J,D,A,I would choose slot machine J.,1,1,14,33,49
24,0,0,-99,1,I,--,B,0,-99,1,I,--,B,I would choose slot machine B.,1,0,11,0,53
25,1,2,3,4,D,A,J,4,2,3,J,D,A,I would choose slot machine J.,1,1,13,34,51
26,3,7,8,9,E,C,F,7,8,9,E,C,F,I would choose slot machine F.,1,0,12,48,83
27,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,14,0,48
28,1,2,3,4,D,A,J,4,2,3,J,D,A,I would choose slot machine J.,1,1,15,30,49
29,2,5,-99,6,G,--,H,6,-99,5,H,--,G,I would choose slot machine H.,1,1,13,0,86
30,1,2,3,4,D,A,J,3,2,4,A,D,J,I would choose slot machine J.,1,0,13,34,47
31,0,0,-99,1,I,--,B,1,-99,0,B,--,I,I would choose slot machine B.,1,1,15,0,48
32,1,2,3,4,D,A,J,3,4,2,A,J,D,I would choose slot machine J.,1,0,13,28,51
33,1,2,3,4,D,A,J,4,2,3,J,D,A,I would choose slot machine J.,1,1,13,32,49
