trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,11,0,88
1,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,10,0,50
2,1,2,3,4,G,D,A,2,4,3,G,A,D,I would choose slot machine G.,0,1,12,33,48
3,3,7,8,9,J,I,H,9,7,8,H,J,I,I would choose slot machine H.,1,1,11,51,82
4,3,7,8,9,J,I,H,9,8,7,H,I,J,I would choose slot machine H.,1,1,12,51,88
5,3,7,8,9,J,I,H,7,9,8,J,H,I,I would choose slot machine H.,1,0,11,52,86
6,0,0,-99,1,B,--,E,0,-99,1,B,--,E,I would choose slot machine E.,1,0,15,0,49
7,1,2,3,4,G,D,A,4,3,2,A,D,G,I would choose slot machine A.,1,1,12,29,48
8,3,7,8,9,J,I,H,7,9,8,J,H,I,I would choose slot machine H.,1,0,16,50,87
9,3,7,8,9,J,I,H,9,8,7,H,I,J,I would choose slot machine H.,1,1,12,49,87
10,2,5,-99,6,C,--,F,5,-99,6,C,--,F,I would choose slot machine F.,1,0,13,0,85
11,1,2,3,4,G,D,A,3,4,2,D,A,G,I would choose slot machine A.,1,0,17,31,52
12,0,0,-99,1,B,--,E,0,-99,1,B,--,E,I would choose slot machine E.,1,0,13,0,49
13,1,2,3,4,G,D,A,4,2,3,A,G,D,I would choose slot machine A.,1,1,15,31,50
14,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,14,0,48
15,2,5,-99,6,C,--,F,5,-99,6,C,--,F,I would choose slot machine F.,1,0,15,0,86
16,1,2,3,4,G,D,A,2,4,3,G,A,D,I would choose slot machine A.,1,0,12,34,52
17,3,7,8,9,J,I,H,8,7,9,I,J,H,I would choose slot machine H.,1,0,11,51,85
18,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,14,0,49
19,2,5,-99,6,C,--,F,5,-99,6,C,--,F,I would choose slot machine F.,1,0,12,0,86
20,0,0,-99,1,B,--,E,0,-99,1,B,--,E,I would choose slot machine E.,1,0,13,0,49
21,1,2,3,4,G,D,A,2,3,4,G,D,A,I would choose slot machine A.,1,0,12,33,50
22,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,14,0,85
23,3,7,8,9,J,I,H,8,9,7,I,H,J,I would choose slot machine I.,0,1,10,51,87
24,0,0,-99,1,B,--,E,0,-99,1,B,--,E,I would choose slot machine E.,1,0,14,0,52
25,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,14,0,87
26,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,14,0,49
27,2,5,-99,6,C,--,F,5,-99,6,C,--,F,I would choose slot machine F.,1,0,15,0,86
28,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,11,0,51
29,0,0,-99,1,B,--,E,0,-99,1,B,--,E,I would choose slot machine E.,1,0,13,0,53
30,2,5,-99,6,C,--,F,5,-99,6,C,--,F,I would choose slot machine F.,1,0,12,0,85
31,3,7,8,9,J,I,H,9,8,7,H,I,J,I would choose slot machine H.,1,1,9,50,86
32,3,7,8,9,J,I,H,7,9,8,J,H,I,I would choose slot machine H.,1,0,13,49,81
33,1,2,3,4,G,D,A,3,4,2,D,A,G,I would choose slot machine A.,1,0,17,29,47
34,3,7,8,9,J,I,H,9,8,7,H,I,J,I would choose slot machine H.,1,1,16,50,85
35,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,13,0,87
36,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,12,0,49
37,3,7,8,9,J,I,H,8,9,7,I,H,J,I would choose slot machine I.,0,1,13,52,82
38,3,7,8,9,J,I,H,8,9,7,I,H,J,I would choose slot machine I.,0,1,16,49,85
39,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,12,0,84
40,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,14,0,84
41,1,2,3,4,G,D,A,3,4,2,D,A,G,I would choose slot machine A.,1,0,13,29,52
42,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,14,0,85
43,3,7,8,9,J,I,H,9,8,7,H,I,J,I would choose slot machine H.,1,1,12,46,85
44,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,13,0,50
45,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,12,0,51
46,1,2,3,4,G,D,A,2,3,4,G,D,A,I would choose slot machine A.,1,0,15,31,47
47,2,5,-99,6,C,--,F,5,-99,6,C,--,F,I would choose slot machine F.,1,0,13,0,86
48,1,2,3,4,G,D,A,4,3,2,A,D,G,I would choose slot machine A.,1,1,19,30,48
49,1,2,3,4,G,D,A,4,2,3,A,G,D,I would choose slot machine A.,1,1,12,33,45
50,1,2,3,4,G,D,A,3,4,2,D,A,G,I would choose slot machine A.,1,0,11,30,48
51,0,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,14,0,48
52,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,8,0,83
53,3,7,8,9,J,I,H,7,9,8,J,H,I,I would choose slot machine H.,1,0,15,51,88
54,1,2,3,4,G,D,A,4,3,2,A,D,G,I would choose slot machine A.,1,1,17,31,52
55,1,2,3,4,G,D,A,3,2,4,D,G,A,I would choose slot machine A.,1,0,10,32,50
56,3,7,8,9,J,I,H,7,8,9,J,I,H,I would choose slot machine H.,1,0,11,46,83
57,2,5,-99,6,C,--,F,6,-99,5,F,--,C,I would choose slot machine F.,1,1,12,0,82
58,0,0,-99,1,B,--,E,0,-99,1,B,--,E,I would choose slot machine E.,1,0,17,0,50
59,1,2,3,4,G,D,A,2,3,4,G,D,A,I would choose slot machine G.,0,1,11,28,48
0,99,0,-99,1,B,--,E,1,-99,0,E,--,B,I would choose slot machine E.,1,1,0,0,0
1,99,0,-99,2,B,--,G,2,-99,0,G,--,B,I would choose slot machine G.,1,1,0,0,0
2,99,0,-99,3,B,--,D,3,-99,0,D,--,B,I would choose slot machine D.,1,1,0,0,0
3,99,0,-99,4,B,--,A,0,-99,4,B,--,A,I would choose slot machine A.,1,0,0,0,0
4,99,0,-99,5,B,--,C,5,-99,0,C,--,B,I would choose slot machine C.,1,1,0,0,0
5,99,0,-99,6,B,--,F,6,-99,0,F,--,B,I would choose slot machine F.,1,1,0,0,0
6,99,0,-99,7,B,--,J,7,-99,0,J,--,B,I would choose slot machine J.,1,1,0,0,0
7,99,0,-99,8,B,--,I,0,-99,8,B,--,I,I would choose slot machine I.,1,0,0,0,0
8,99,0,-99,9,B,--,H,0,-99,9,B,--,H,I would choose slot machine H.,1,0,0,0,0
9,99,1,-99,2,E,--,G,1,-99,2,E,--,G,I would choose slot machine E.,0,1,0,0,0
10,99,1,-99,3,E,--,D,3,-99,1,D,--,E,I would choose slot machine E.,0,0,0,0,0
11,99,1,-99,4,E,--,A,4,-99,1,A,--,E,I would choose slot machine A.,1,1,0,0,0
12,99,1,-99,5,E,--,C,1,-99,5,E,--,C,I would choose slot machine E.,0,1,0,0,0
13,99,1,-99,6,E,--,F,6,-99,1,F,--,E,I would choose slot machine F.,1,1,0,0,0
14,99,1,-99,7,E,--,J,1,-99,7,E,--,J,I would choose slot machine E.,0,1,0,0,0
