trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,27.0,26.0
1,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,27.0
2,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,29.0,34.0
3,2,4,5,A,C,5,4,C,A,I would choose slot machine A.,0,0,28.0,27.0
4,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,44.0,34.0
5,3,6,7,H,G,6,7,H,G,I would choose slot machine G.,1,0,29.0,34.0
6,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,27.0,26.0
7,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,27.0
8,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,12.0,26.0
9,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
10,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,27.0
11,1,2,3,D,E,2,3,D,E,I would choose slot machine E.,1,0,27.0,26.0
12,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,29.0,34.0
13,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,27.0,26.0
14,0,0,1,F,B,0,1,F,B,I would choose slot machine B.,1,0,20.0,25.0
15,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,27.0
16,2,4,5,A,C,5,4,C,A,I would choose slot machine A.,0,0,28.0,27.0
17,1,2,3,D,E,2,3,D,E,I would choose slot machine E.,1,0,27.0,26.0
18,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,29.0,34.0
19,0,0,1,F,B,0,1,F,B,I would choose slot machine B.,1,0,20.0,25.0
20,2,4,5,A,C,5,4,C,A,I would choose slot machine C.,1,1,28.0,27.0
21,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,10.0
22,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,44.0,34.0
23,1,2,3,D,E,2,3,D,E,I would choose slot machine E.,1,0,27.0,26.0
24,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,29.0,34.0
25,0,0,1,F,B,0,1,F,B,I would choose slot machine F.,0,1,20.0,25.0
26,3,6,7,H,G,6,7,H,G,I would choose slot machine G.,1,0,29.0,34.0
27,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,29.0,34.0
28,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,27.0
29,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,29.0,34.0
30,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,27.0,26.0
31,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,44.0,34.0
32,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
33,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,29.0,34.0
34,0,0,1,F,B,0,1,F,B,I would choose slot machine F.,0,1,20.0,25.0
35,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,42.0
36,2,4,5,A,C,4,5,A,C,I would choose slot machine C.,1,0,28.0,42.0
37,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
38,0,0,1,F,B,0,1,F,B,I would choose slot machine F.,0,1,20.0,10.0
39,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
40,3,6,7,H,G,7,6,G,H,I would choose slot machine G.,1,1,29.0,34.0
41,0,0,1,F,B,0,1,F,B,I would choose slot machine F.,0,1,20.0,25.0
42,3,6,7,H,G,6,7,H,G,I would choose slot machine H.,0,1,29.0,34.0
43,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,27.0,26.0
44,2,4,5,A,C,4,5,A,C,I would choose slot machine A.,0,1,28.0,42.0
45,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
46,1,2,3,D,E,2,3,D,E,I would choose slot machine E.,1,0,12.0,26.0
47,1,2,3,D,E,2,3,D,E,I would choose slot machine E.,1,0,27.0,26.0
48,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
49,0,0,1,F,B,1,0,B,F,I would choose slot machine B.,1,1,20.0,25.0
50,1,2,3,D,E,3,2,E,D,I would choose slot machine E.,1,1,27.0,26.0
