trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,B,A,1,0,A,B,"Slot machine A has a 70% chance of winning $10 and a 30% chance of losing $5.
Slot machine B has a 40% chance of winning $20 and a 60% chance of losing $10.

I would choose slot machine B.",0,0,0.0,0.0
1,1,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,0.0,0.0
2,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.0,0.1
3,1,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,-0.1,0.0
4,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,0.0,1.0
5,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.0,0.1
6,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,-1.0,0.0
7,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.0,0.1
8,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,0.0,1.0
9,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,-1.0,-1.0
10,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,0.0,0.1
11,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,0.0,1.0
12,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,-1.0,0.0
13,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,-1.0,-1.0
14,1,2,3,G,E,2,3,G,E,I would choose slot machine E.,1,0,0.0,0.0
15,1,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,-0.1,0.0
16,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,0.0,0.1
17,1,2,3,G,E,2,3,G,E,I would choose slot machine E.,1,0,-0.1,0.0
18,1,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,-0.1,-0.1
19,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.1,0.1
20,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,0.0,1.0
21,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,-1.0,0.0
22,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,-1.0,0.0
23,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,-1.0,0.0
24,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,0.0,0.0
25,1,2,3,G,E,2,3,G,E,I would choose slot machine E.,1,0,-0.1,0.0
26,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,1.0,1.0
27,3,6,7,H,D,6,7,H,D,I would choose slot machine D.,1,0,0.0,0.0
28,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,1.0,1.0
29,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,0.0,0.0
30,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,1.0,0.0
31,1,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,-0.1,0.0
32,0,0,1,B,A,1,0,A,B,I would choose slot machine A.,1,1,0.0,0.0
33,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,0.0,1.0
34,1,2,3,G,E,2,3,G,E,I would choose slot machine E.,1,0,-0.1,-0.1
35,1,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,0.0,0.0
36,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.1,0.0
37,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,0.0,-1.0
38,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.1,0.1
39,1,2,3,G,E,2,3,G,E,I would choose slot machine E.,1,0,-0.1,-0.1
40,2,4,5,C,F,4,5,C,F,I would choose slot machine F.,1,0,0.0,0.1
41,1,2,3,G,E,2,3,G,E,I would choose slot machine E.,1,0,-0.1,0.0
42,0,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,-1.0,0.0
43,3,6,7,H,D,7,6,D,H,I would choose slot machine D.,1,1,0.0,1.0
44,3,6,7,H,D,6,7,H,D,I would choose slot machine H.,0,1,0.0,1.0
45,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.0,0.0
46,0,0,1,B,A,0,1,B,A,I would choose slot machine A.,1,0,-1.0,0.0
47,2,4,5,C,F,5,4,F,C,I would choose slot machine F.,1,1,0.0,0.1
0,99,0,1,B,A,0,1,B,A,I would choose slot machine B.,0,1,0.0,0.0
1,99,0,2,B,G,0,2,B,G,I would choose slot machine B.,0,1,0.0,0.0
2,99,0,3,B,E,0,3,B,E,I would choose slot machine E.,1,0,0.0,0.0
3,99,0,4,B,C,0,4,B,C,I would choose slot machine B.,0,1,0.0,0.0
4,99,0,5,B,F,0,5,B,F,I would choose slot machine F.,1,0,0.0,0.0
5,99,0,6,B,H,6,0,H,B,I would choose slot machine H.,1,1,0.0,0.0
6,99,0,7,B,D,7,0,D,B,I would choose slot machine D.,1,1,0.0,0.0
7,99,1,2,A,G,2,1,G,A,I would choose slot machine G.,1,1,0.0,0.0
8,99,1,3,A,E,3,1,E,A,I would choose slot machine E.,1,1,0.0,0.0
9,99,1,4,A,C,1,4,A,C,I would choose slot machine A.,0,1,0.0,0.0
10,99,1,5,A,F,1,5,A,F,I would choose slot machine F.,1,0,0.0,0.0
11,99,1,6,A,H,1,6,A,H,I would choose slot machine H.,1,0,0.0,0.0
12,99,1,7,A,D,7,1,D,A,I would choose slot machine D.,1,1,0.0,0.0
13,99,2,3,G,E,3,2,E,G,I would choose slot machine E.,1,1,0.0,0.0
14,99,2,4,G,C,4,2,C,G,I would choose slot machine G.,0,0,0.0,0.0
15,99,2,5,G,F,5,2,F,G,I would choose slot machine F.,1,1,0.0,0.0
16,99,2,6,G,H,6,2,H,G,I would choose slot machine H.,1,1,0.0,0.0
17,99,2,7,G,D,2,7,G,D,I would choose slot machine G.,0,1,0.0,0.0
