trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,A,E,G,8,7,9,E,A,G,I would choose slot machine E.,0,1,15,51,84
1,1,2,3,4,F,I,C,3,2,4,I,F,C,I would choose slot machine F.,0,0,11,30,47
2,2,5,-99,6,J,--,D,5,-99,6,J,--,D,I would choose slot machine J.,0,1,14,0,83
3,0,0,-99,1,B,--,H,1,-99,0,H,--,B,I would choose slot machine H.,1,1,12,0,51
4,1,2,3,4,F,I,C,3,2,4,I,F,C,I would choose slot machine C.,1,0,11,34,46
5,0,0,-99,1,B,--,H,0,-99,1,B,--,H,I would choose slot machine H.,1,0,10,0,49
6,3,7,8,9,A,E,G,9,8,7,G,E,A,I would choose slot machine G.,1,1,15,49,83
7,0,0,-99,1,B,--,H,1,-99,0,H,--,B,I would choose slot machine H.,1,1,10,0,48
8,0,0,-99,1,B,--,H,0,-99,1,B,--,H,I would choose slot machine H.,1,0,16,0,48
9,2,5,-99,6,J,--,D,6,-99,5,D,--,J,I would choose slot machine D.,1,1,16,0,85
10,0,0,-99,1,B,--,H,0,-99,1,B,--,H,I would choose slot machine H.,1,0,13,0,48
11,1,2,3,4,F,I,C,2,3,4,F,I,C,I would choose slot machine _________.,0,0,12,32,48
12,1,2,3,4,F,I,C,3,4,2,I,C,F,I would choose slot machine I.,0,1,11,31,50
13,0,0,-99,1,B,--,H,0,-99,1,B,--,H,I would choose slot machine _.,0,0,15,0,51
14,3,7,8,9,A,E,G,7,9,8,A,G,E,I would choose slot machine G.,1,0,14,49,86
15,3,7,8,9,A,E,G,7,9,8,A,G,E,I would choose slot machine G.,1,0,14,50,85
16,3,7,8,9,A,E,G,8,7,9,E,A,G,I would choose slot machine G.,1,0,13,47,85
17,3,7,8,9,A,E,G,9,8,7,G,E,A,I would choose slot machine G.,1,1,15,53,84
18,3,7,8,9,A,E,G,9,8,7,G,E,A,I would choose slot machine G.,1,1,9,50,84
19,2,5,-99,6,J,--,D,6,-99,5,D,--,J,I would choose slot machine D.,1,1,12,0,86
20,2,5,-99,6,J,--,D,6,-99,5,D,--,J,I would choose slot machine D.,1,1,16,0,86
21,0,0,-99,1,B,--,H,0,-99,1,B,--,H,I would choose slot machine B.,0,1,14,0,53
22,3,7,8,9,A,E,G,8,7,9,E,A,G,I would choose slot machine G.,1,0,14,48,87
23,3,7,8,9,A,E,G,7,9,8,A,G,E,I would choose slot machine G.,1,0,13,46,88
24,0,0,-99,1,B,--,H,0,-99,1,B,--,H,I would choose slot machine H.,1,0,13,0,47
25,2,5,-99,6,J,--,D,5,-99,6,J,--,D,I would choose slot machine D.,1,0,11,0,84
26,2,5,-99,6,J,--,D,5,-99,6,J,--,D,I would choose slot machine D.,1,0,13,0,88
27,3,7,8,9,A,E,G,8,9,7,E,G,A,I would choose slot machine G.,1,0,17,49,85
28,1,2,3,4,F,I,C,3,2,4,I,F,C,Please respond with the letter of the slot machine you choose.,-99,-99,16,34,47
29,2,5,-99,6,J,--,D,6,-99,5,D,--,J,I would choose slot machine D.,1,1,9,0,83
