trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,F,C,D,8,7,9,C,F,D,I would choose slot machine C.,0,1,14,49,86
1,0,0,-99,1,E,--,J,1,-99,0,J,--,E,I would choose slot machine J.,1,1,14,0,49
2,1,2,3,4,G,A,B,3,4,2,A,B,G,I would choose slot machine ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,0,0,15,30,53
3,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,15,0,50
4,1,2,3,4,G,A,B,3,2,4,A,G,B,I would choose slot machine B.,1,0,11,32,49
5,0,0,-99,1,E,--,J,1,-99,0,J,--,E,I would choose slot machine J.,1,1,11,0,49
6,3,7,8,9,F,C,D,8,7,9,C,F,D,I would choose slot machine D.,1,0,14,50,86
7,3,7,8,9,F,C,D,8,9,7,C,D,F,I would choose slot machine C.,0,1,13,52,84
8,3,7,8,9,F,C,D,9,8,7,D,C,F,I would choose slot machine D.,1,1,13,47,83
9,1,2,3,4,G,A,B,3,4,2,A,B,G,I would choose slot machine A.,0,1,13,33,47
10,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,16,0,53
11,3,7,8,9,F,C,D,7,8,9,F,C,D,I would choose slot machine C.,0,0,15,49,84
12,1,2,3,4,G,A,B,3,2,4,A,G,B,I would choose slot machine ____________.,0,0,14,32,51
13,3,7,8,9,F,C,D,8,9,7,C,D,F,I would choose slot machine C.,0,1,13,47,84
14,3,7,8,9,F,C,D,9,7,8,D,F,C,I would choose slot machine D.,1,1,13,49,86
15,2,5,-99,6,I,--,H,6,-99,5,H,--,I,I would choose slot machine H.,1,1,13,0,91
16,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,13,0,47
17,1,2,3,4,G,A,B,2,4,3,G,B,A,I would choose slot machine B.,1,0,11,33,49
18,2,5,-99,6,I,--,H,5,-99,6,I,--,H,I would choose slot machine H.,1,0,16,0,88
19,2,5,-99,6,I,--,H,6,-99,5,H,--,I,I would choose slot machine H.,1,1,13,0,87
20,1,2,3,4,G,A,B,3,4,2,A,B,G,I would choose slot machine A.,0,1,12,35,51
21,3,7,8,9,F,C,D,9,8,7,D,C,F,I would choose slot machine D.,1,1,12,53,83
22,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,14,0,49
23,1,2,3,4,G,A,B,4,2,3,B,G,A,I would choose slot machine B.,1,1,11,33,51
24,1,2,3,4,G,A,B,4,2,3,B,G,A,I would choose slot machine B.,1,1,17,30,51
25,1,2,3,4,G,A,B,2,3,4,G,A,B,I would choose slot machine B.,1,0,18,33,46
26,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,12,0,51
27,3,7,8,9,F,C,D,8,7,9,C,F,D,I would choose slot machine  C.,0,0,11,48,88
28,2,5,-99,6,I,--,H,6,-99,5,H,--,I,I would choose slot machine H.,1,1,12,0,86
29,2,5,-99,6,I,--,H,5,-99,6,I,--,H,Please respond with the number of the slot machine you choose.,-99,-99,14,0,83
30,2,5,-99,6,I,--,H,6,-99,5,H,--,I,I would choose slot machine H.,1,1,10,0,88
31,1,2,3,4,G,A,B,2,4,3,G,B,A,I would choose slot machine B.,1,0,15,30,52
32,2,5,-99,6,I,--,H,5,-99,6,I,--,H,Please choose a slot machine.,-99,-99,15,0,85
33,0,0,-99,1,E,--,J,0,-99,1,E,--,J,I would choose slot machine J.,1,0,19,0,51
