trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine C.,0,1,14,0,49
1,2,5,-99,6,E,--,I,6,-99,5,I,--,E,I would choose slot machine I.,1,1,16,0,85
2,1,2,3,4,G,D,F,4,3,2,F,D,G,I would choose slot machine F.,1,1,14,30,47
3,1,2,3,4,G,D,F,3,4,2,D,F,G,I would choose slot machine F.,1,0,16,34,47
4,1,2,3,4,G,D,F,4,2,3,F,G,D,I would choose slot machine F.,1,1,13,30,50
5,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,10,0,46
6,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,12,0,53
7,1,2,3,4,G,D,F,2,4,3,G,F,D,I would choose slot machine F.,1,0,13,35,50
8,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,9,0,89
9,1,2,3,4,G,D,F,3,2,4,D,G,F,I would choose slot machine F.,1,0,17,31,49
10,3,7,8,9,A,J,H,9,8,7,H,J,A,I would choose slot machine H.,1,1,14,50,87
11,3,7,8,9,A,J,H,8,7,9,J,A,H,I would choose slot machine H.,1,0,16,51,80
12,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,10,0,90
13,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,12,0,53
14,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,16,0,83
15,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,11,0,51
16,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,18,0,49
17,1,2,3,4,G,D,F,2,4,3,G,F,D,I would choose slot machine F.,1,0,13,31,50
18,3,7,8,9,A,J,H,8,9,7,J,H,A,I would choose slot machine H.,1,0,14,49,86
19,3,7,8,9,A,J,H,9,8,7,H,J,A,I would choose slot machine H.,1,1,16,49,85
20,1,2,3,4,G,D,F,3,4,2,D,F,G,I would choose slot machine F.,1,0,13,34,47
21,3,7,8,9,A,J,H,9,7,8,H,A,J,I would choose slot machine H.,1,1,14,49,88
22,3,7,8,9,A,J,H,7,9,8,A,H,J,I would choose slot machine H.,1,0,15,49,88
23,1,2,3,4,G,D,F,2,3,4,G,D,F,I would choose slot machine F.,1,0,16,30,52
24,2,5,-99,6,E,--,I,6,-99,5,I,--,E,I would choose slot machine I.,1,1,9,0,86
25,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,14,0,85
26,3,7,8,9,A,J,H,7,8,9,A,J,H,I would choose slot machine H.,1,0,17,52,85
27,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,14,0,51
28,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,11,0,49
29,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,14,0,48
30,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,11,0,84
31,1,2,3,4,G,D,F,4,2,3,F,G,D,I would choose slot machine F.,1,1,13,32,49
32,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,11,0,49
33,3,7,8,9,A,J,H,9,7,8,H,A,J,I would choose slot machine H.,1,1,16,47,88
34,3,7,8,9,A,J,H,7,9,8,A,H,J,I would choose slot machine H.,1,0,15,49,90
35,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,14,0,82
36,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,14,0,88
37,1,2,3,4,G,D,F,3,2,4,D,G,F,I would choose slot machine F.,1,0,16,31,46
38,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,14,0,50
39,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,11,0,48
40,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,14,0,89
41,3,7,8,9,A,J,H,7,8,9,A,J,H,I would choose slot machine H.,1,0,14,46,85
42,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,13,0,49
43,3,7,8,9,A,J,H,8,9,7,J,H,A,I would choose slot machine H.,1,0,15,48,83
44,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,12,0,87
45,0,0,-99,1,C,--,B,0,-99,1,C,--,B,I would choose slot machine B.,1,0,16,0,52
46,3,7,8,9,A,J,H,8,9,7,J,H,A,I would choose slot machine H.,1,0,14,48,88
47,2,5,-99,6,E,--,I,6,-99,5,I,--,E,I would choose slot machine I.,1,1,14,0,83
48,2,5,-99,6,E,--,I,6,-99,5,I,--,E,I would choose slot machine I.,1,1,15,0,88
49,3,7,8,9,A,J,H,7,9,8,A,H,J,I would choose slot machine H.,1,0,13,50,86
50,1,2,3,4,G,D,F,2,4,3,G,F,D,I would choose slot machine F.,1,0,15,30,50
51,2,5,-99,6,E,--,I,5,-99,6,E,--,I,I would choose slot machine I.,1,0,15,0,85
52,1,2,3,4,G,D,F,3,4,2,D,F,G,I would choose slot machine F.,1,0,14,32,50
53,3,7,8,9,A,J,H,8,9,7,J,H,A,I would choose slot machine H.,1,0,15,51,87
54,3,7,8,9,A,J,H,7,9,8,A,H,J,I would choose slot machine H.,1,0,14,48,86
55,2,5,-99,6,E,--,I,6,-99,5,I,--,E,I would choose slot machine I.,1,1,13,0,79
56,1,2,3,4,G,D,F,3,2,4,D,G,F,I would choose slot machine F.,1,0,15,30,50
57,0,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,13,0,51
58,1,2,3,4,G,D,F,4,3,2,F,D,G,I would choose slot machine F.,1,1,19,32,51
59,1,2,3,4,G,D,F,4,2,3,F,G,D,I would choose slot machine F.,1,1,10,34,50
0,99,0,-99,1,C,--,B,1,-99,0,B,--,C,I would choose slot machine B.,1,1,0,0,0
1,99,0,-99,2,C,--,G,0,-99,2,C,--,G,I would choose slot machine C.,0,1,0,0,0
2,99,0,-99,3,C,--,D,3,-99,0,D,--,C,I would choose slot machine D.,1,1,0,0,0
3,99,0,-99,4,C,--,F,4,-99,0,F,--,C,I would choose slot machine F.,1,1,0,0,0
4,99,0,-99,5,C,--,E,5,-99,0,E,--,C,I would choose slot machine E.,1,1,0,0,0
5,99,0,-99,6,C,--,I,6,-99,0,I,--,C,I would choose slot machine I.,1,1,0,0,0
6,99,0,-99,7,C,--,A,0,-99,7,C,--,A,I would choose slot machine C.,0,1,0,0,0
7,99,0,-99,8,C,--,J,8,-99,0,J,--,C,I would choose slot machine J.,1,1,0,0,0
8,99,0,-99,9,C,--,H,9,-99,0,H,--,C,I would choose slot machine H.,1,1,0,0,0
9,99,1,-99,2,B,--,G,1,-99,2,B,--,G,I would choose slot machine B.,0,1,0,0,0
10,99,1,-99,3,B,--,D,3,-99,1,D,--,B,I would choose slot machine B.,0,0,0,0,0
11,99,1,-99,4,B,--,F,1,-99,4,B,--,F,I would choose slot machine F.,1,0,0,0,0
12,99,1,-99,5,B,--,E,1,-99,5,B,--,E,I would choose slot machine B.,0,1,0,0,0
13,99,1,-99,6,B,--,I,1,-99,6,B,--,I,I would choose slot machine I.,1,0,0,0,0
14,99,1,-99,7,B,--,A,7,-99,1,A,--,B,I would choose slot machine B.,0,0,0,0,0
15,99,1,-99,8,B,--,J,1,-99,8,B,--,J,I would choose slot machine B.,0,1,0,0,0
16,99,1,-99,9,B,--,H,9,-99,1,H,--,B,I would choose slot machine H.,1,1,0,0,0
17,99,2,-99,3,G,--,D,3,-99,2,D,--,G,I would choose slot machine D.,1,1,0,0,0
18,99,2,-99,4,G,--,F,4,-99,2,F,--,G,I would choose slot machine F.,1,1,0,0,0
19,99,2,-99,5,G,--,E,5,-99,2,E,--,G,I would choose slot machine E.,1,1,0,0,0
20,99,2,-99,6,G,--,I,6,-99,2,I,--,G,I would choose slot machine I.,1,1,0,0,0
21,99,2,-99,7,G,--,A,7,-99,2,A,--,G,I would choose slot machine A.,1,1,0,0,0
22,99,2,-99,8,G,--,J,8,-99,2,J,--,G,I would choose slot machine J.,1,1,0,0,0
23,99,2,-99,9,G,--,H,9,-99,2,H,--,G,I would choose slot machine H.,1,1,0,0,0
24,99,3,-99,4,D,--,F,3,-99,4,D,--,F,I would choose slot machine F.,1,0,0,0,0
25,99,3,-99,5,D,--,E,3,-99,5,D,--,E,I would choose slot machine D.,0,1,0,0,0
26,99,3,-99,6,D,--,I,6,-99,3,I,--,D,I would choose slot machine I.,1,1,0,0,0
27,99,3,-99,7,D,--,A,3,-99,7,D,--,A,I would choose slot machine D.,0,1,0,0,0
28,99,3,-99,8,D,--,J,8,-99,3,J,--,D,I would choose slot machine J.,1,1,0,0,0
29,99,3,-99,9,D,--,H,3,-99,9,D,--,H,I would choose slot machine H.,1,0,0,0,0
30,99,4,-99,5,F,--,E,5,-99,4,E,--,F,I would choose slot machine F.,0,0,0,0,0
31,99,4,-99,6,F,--,I,6,-99,4,I,--,F,I would choose slot machine I.,1,1,0,0,0
32,99,4,-99,7,F,--,A,4,-99,7,F,--,A,I would choose slot machine F.,0,1,0,0,0
33,99,4,-99,8,F,--,J,8,-99,4,J,--,F,I would choose slot machine F.,0,0,0,0,0
34,99,4,-99,9,F,--,H,4,-99,9,F,--,H,I would choose slot machine H.,1,0,0,0,0
