trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,0,0,-99,1,E,--,C,0,-99,1,E,--,C,I would choose slot machine E.,0,1,15,0,52
1,0,0,-99,1,E,--,C,0,-99,1,E,--,C,I would choose slot machine C.,1,0,15,0,49
2,2,5,-99,6,B,--,A,6,-99,5,A,--,B,I would choose slot machine A.,1,1,15,0,88
3,1,2,3,4,F,D,H,4,3,2,H,D,F,I would choose slot machine H.,1,1,15,32,50
4,1,2,3,4,F,D,H,3,2,4,D,F,H,I would choose slot machine H.,1,0,18,36,51
5,0,0,-99,1,E,--,C,1,-99,0,C,--,E,I would choose slot machine C.,1,1,12,0,48
6,1,2,3,4,F,D,H,4,3,2,H,D,F,I would choose slot machine H.,1,1,12,28,50
7,2,5,-99,6,B,--,A,6,-99,5,A,--,B,I would choose slot machine A.,1,1,15,0,87
8,2,5,-99,6,B,--,A,6,-99,5,A,--,B,I would choose slot machine A.,1,1,17,0,88
9,3,7,8,9,I,J,G,7,8,9,I,J,G,I would choose slot machine I.,0,1,12,51,87
10,2,5,-99,6,B,--,A,5,-99,6,B,--,A,I would choose slot machine A.,1,0,12,0,85
11,2,5,-99,6,B,--,A,6,-99,5,A,--,B,I would choose slot machine A.,1,1,12,0,83
12,1,2,3,4,F,D,H,2,3,4,F,D,H,I would choose slot machine H.,1,0,14,30,49
13,1,2,3,4,F,D,H,3,2,4,D,F,H,I would choose slot machine H.,1,0,13,30,50
14,2,5,-99,6,B,--,A,5,-99,6,B,--,A,I would choose slot machine A.,1,0,14,0,85
15,3,7,8,9,I,J,G,8,7,9,J,I,G,I would choose slot machine G.,1,0,14,51,86
16,2,5,-99,6,B,--,A,6,-99,5,A,--,B,I would choose slot machine A.,1,1,16,0,88
17,0,0,-99,1,E,--,C,1,-99,0,C,--,E,I would choose slot machine C.,1,1,9,0,50
18,1,2,3,4,F,D,H,2,4,3,F,H,D,I would choose slot machine H.,1,0,17,33,48
19,1,2,3,4,F,D,H,4,2,3,H,F,D,I would choose slot machine H.,1,1,12,34,49
20,1,2,3,4,F,D,H,2,3,4,F,D,H,I would choose slot machine H.,1,0,15,32,53
21,0,0,-99,1,E,--,C,1,-99,0,C,--,E,I would choose slot machine C.,1,1,18,0,51
22,3,7,8,9,I,J,G,7,9,8,I,G,J,I would choose slot machine G.,1,0,13,49,83
23,3,7,8,9,I,J,G,8,9,7,J,G,I,I would choose slot machine G.,1,0,14,48,86
24,0,0,-99,1,E,--,C,1,-99,0,C,--,E,I would choose slot machine C.,1,1,18,0,50
25,3,7,8,9,I,J,G,9,7,8,G,I,J,I would choose slot machine G.,1,1,12,49,85
26,1,2,3,4,F,D,H,3,2,4,D,F,H,I would choose slot machine H.,1,0,17,32,49
27,1,2,3,4,F,D,H,2,4,3,F,H,D,I would choose slot machine H.,1,0,12,33,49
