trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,I,C,G,9,7,8,G,I,C,I would choose slot machine G.,1,1,15,52,84
1,2,5,-99,6,B,--,E,6,-99,5,E,--,B,I would choose slot machine E.,1,1,14,0,85
2,3,7,8,9,I,C,G,7,9,8,I,G,C,I would choose slot machine G.,1,0,14,47,87
3,1,2,3,4,J,H,A,2,4,3,J,A,H,I would choose slot machine J.,0,1,14,33,51
4,3,7,8,9,I,C,G,7,8,9,I,C,G,I would choose slot machine G.,1,0,15,50,87
5,2,5,-99,6,B,--,E,6,-99,5,E,--,B,I would choose slot machine E.,1,1,16,0,86
6,1,2,3,4,J,H,A,4,3,2,A,H,J,I would choose slot machine A.,1,1,13,32,48
7,1,2,3,4,J,H,A,4,3,2,A,H,J,I would choose slot machine A.,1,1,14,30,46
8,1,2,3,4,J,H,A,4,3,2,A,H,J,I would choose slot machine A.,1,1,16,32,50
9,1,2,3,4,J,H,A,3,2,4,H,J,A,I would choose slot machine A.,1,0,11,31,44
10,0,0,-99,1,D,--,F,1,-99,0,F,--,D,I would choose slot machine F.,1,1,17,0,50
11,1,2,3,4,J,H,A,3,4,2,H,A,J,I would choose slot machine A.,1,0,13,29,48
12,1,2,3,4,J,H,A,3,2,4,H,J,A,I would choose slot machine A.,1,0,14,32,49
13,2,5,-99,6,B,--,E,6,-99,5,E,--,B,I would choose slot machine E.,1,1,12,0,86
14,1,2,3,4,J,H,A,3,4,2,H,A,J,I would choose slot machine A.,1,0,14,28,51
15,2,5,-99,6,B,--,E,6,-99,5,E,--,B,I would choose slot machine E.,1,1,15,0,82
16,0,0,-99,1,D,--,F,0,-99,1,D,--,F,I would choose slot machine F.,1,0,15,0,49
17,0,0,-99,1,D,--,F,0,-99,1,D,--,F,I would choose slot machine F.,1,0,13,0,48
18,0,0,-99,1,D,--,F,1,-99,0,F,--,D,I would choose slot machine F.,1,1,14,0,51
19,2,5,-99,6,B,--,E,5,-99,6,B,--,E,I would choose slot machine E.,1,0,14,0,85
20,3,7,8,9,I,C,G,8,9,7,C,G,I,I would choose slot machine G.,1,0,14,50,84
21,0,0,-99,1,D,--,F,1,-99,0,F,--,D,I would choose slot machine F.,1,1,13,0,49
22,2,5,-99,6,B,--,E,5,-99,6,B,--,E,I would choose slot machine E.,1,0,12,0,86
23,2,5,-99,6,B,--,E,5,-99,6,B,--,E,I would choose slot machine E.,1,0,16,0,87
24,2,5,-99,6,B,--,E,6,-99,5,E,--,B,I would choose slot machine E.,1,1,14,0,86
25,0,0,-99,1,D,--,F,0,-99,1,D,--,F,I would choose slot machine F.,1,0,16,0,51
26,0,0,-99,1,D,--,F,0,-99,1,D,--,F,I would choose slot machine F.,1,0,17,0,48
27,3,7,8,9,I,C,G,7,9,8,I,G,C,I would choose slot machine G.,1,0,15,48,85
28,3,7,8,9,I,C,G,7,8,9,I,C,G,I would choose slot machine G.,1,0,11,48,88
29,3,7,8,9,I,C,G,7,9,8,I,G,C,I would choose slot machine G.,1,0,14,47,85
30,3,7,8,9,I,C,G,8,9,7,C,G,I,I would choose slot machine G.,1,0,13,48,87
31,1,2,3,4,J,H,A,2,4,3,J,A,H,I would choose slot machine A.,1,0,11,28,54
32,2,5,-99,6,B,--,E,5,-99,6,B,--,E,I would choose slot machine E.,1,0,12,0,83
33,0,0,-99,1,D,--,F,0,-99,1,D,--,F,I would choose slot machine F.,1,0,11,0,46
34,3,7,8,9,I,C,G,9,7,8,G,I,C,I would choose slot machine G.,1,1,13,48,84
35,0,0,-99,1,D,--,F,1,-99,0,F,--,D,I would choose slot machine F.,1,1,11,0,48
36,2,5,-99,6,B,--,E,6,-99,5,E,--,B,I would choose slot machine E.,1,1,12,0,83
37,0,0,-99,1,D,--,F,0,-99,1,D,--,F,I would choose slot machine F.,1,0,10,0,49
