trial,context,L_index,M_index,H_index,L_option,M_option,H_option,left_index,middle_index,right_index,left_option,middle_option,right_option,choice,accuracy,chose_left,L_outcome,M_outcome,H_outcome
0,3,7,8,9,D,H,C,9,7,8,C,D,H,I would choose slot machine C.,1,1,16,48,82
1,2,5,-99,6,E,--,F,6,-99,5,F,--,E,I would choose slot machine F.,1,1,15,0,87
2,1,2,3,4,B,J,A,2,4,3,B,A,J,"I would choose slot machine 

Please fill in the blank with the letter of the slot machine you choose.",-99,-99,12,29,49
3,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine F.,1,0,18,0,86
4,3,7,8,9,D,H,C,8,9,7,H,C,D,I would choose slot machine H.,0,1,13,48,87
5,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,14,0,88
6,0,0,-99,1,I,--,G,1,-99,0,G,--,I,I would choose slot machine G.,1,1,15,0,54
7,0,0,-99,1,I,--,G,1,-99,0,G,--,I,I would choose slot machine G.,1,1,13,0,48
8,1,2,3,4,B,J,A,3,4,2,J,A,B,I would choose slot machine A.,1,0,17,32,48
9,0,0,-99,1,I,--,G,1,-99,0,G,--,I,I would choose slot machine G.,1,1,12,0,52
10,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,13,0,84
11,3,7,8,9,D,H,C,8,7,9,H,D,C,I would choose slot machine H.,0,1,15,52,84
12,0,0,-99,1,I,--,G,0,-99,1,I,--,G,I would choose slot machine G.,1,0,14,0,48
13,3,7,8,9,D,H,C,7,9,8,D,C,H,I would choose slot machine H.,0,0,13,48,83
14,1,2,3,4,B,J,A,4,3,2,A,J,B,I would choose slot machine A.,1,1,13,35,55
15,0,0,-99,1,I,--,G,0,-99,1,I,--,G,I would choose slot machine G.,1,0,13,0,47
16,3,7,8,9,D,H,C,7,8,9,D,H,C,I would choose slot machine H.,0,0,17,51,82
17,2,5,-99,6,E,--,F,6,-99,5,F,--,E,I would choose slot machine F.,1,1,12,0,82
18,1,2,3,4,B,J,A,4,2,3,A,B,J,"I would choose slot machine 

Please fill in the blank with the letter of the slot machine you choose.",-99,-99,12,32,48
19,3,7,8,9,D,H,C,9,7,8,C,D,H,I would choose slot machine C.,1,1,15,48,88
20,0,0,-99,1,I,--,G,0,-99,1,I,--,G,I would choose slot machine G.,1,0,14,0,48
21,0,0,-99,1,I,--,G,0,-99,1,I,--,G,I would choose slot machine G.,1,0,13,0,50
22,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,14,0,86
23,3,7,8,9,D,H,C,8,7,9,H,D,C,I would choose slot machine H.,0,1,15,49,87
24,1,2,3,4,B,J,A,2,4,3,B,A,J,I would choose slot machine B.,0,1,13,30,49
25,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,12,0,86
26,3,7,8,9,D,H,C,9,7,8,C,D,H,I would choose slot machine C.,1,1,16,50,82
27,1,2,3,4,B,J,A,2,3,4,B,J,A,I would choose slot machine B.,0,1,19,31,51
28,2,5,-99,6,E,--,F,6,-99,5,F,--,E,I would choose slot machine F.,1,1,11,0,86
29,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,15,0,88
30,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,15,0,85
31,0,0,-99,1,I,--,G,0,-99,1,I,--,G,Please respond with your choice.,-99,-99,10,0,52
32,3,7,8,9,D,H,C,8,7,9,H,D,C,I would choose slot machine H.,0,1,13,51,85
33,3,7,8,9,D,H,C,7,8,9,D,H,C,I would choose slot machine D.,0,1,14,47,84
34,0,0,-99,1,I,--,G,1,-99,0,G,--,I,Please respond with your choice.,-99,-99,14,0,46
35,0,0,-99,1,I,--,G,0,-99,1,I,--,G,Please respond with your choice.,-99,-99,13,0,49
36,2,5,-99,6,E,--,F,6,-99,5,F,--,E,I would choose slot machine F.,1,1,13,0,87
37,1,2,3,4,B,J,A,2,3,4,B,J,A,I would choose slot machine B.,0,1,14,31,47
38,0,0,-99,1,I,--,G,0,-99,1,I,--,G,Please respond with your choice.,-99,-99,16,0,50
39,1,2,3,4,B,J,A,3,2,4,J,B,A,Please respond with the letter of the slot machine you choose.,-99,-99,10,29,46
40,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,13,0,84
41,0,0,-99,1,I,--,G,1,-99,0,G,--,I,Please respond with your choice.,-99,-99,17,0,52
42,0,0,-99,1,I,--,G,0,-99,1,I,--,G,Please respond with your choice.,-99,-99,17,0,48
43,2,5,-99,6,E,--,F,5,-99,6,E,--,F,I would choose slot machine E.,0,1,15,0,80
44,3,7,8,9,D,H,C,7,9,8,D,C,H,Please respond with the letter of the slot machine you choose.,-99,-99,12,46,84
45,1,2,3,4,B,J,A,4,3,2,A,J,B,Please respond with the letter of the slot machine you choose.,-99,-99,14,32,52
46,3,7,8,9,D,H,C,9,8,7,C,H,D,I would choose slot machine C.,1,1,16,48,83
47,3,7,8,9,D,H,C,7,9,8,D,C,H,Please respond with the letter of the slot machine you choose.,-99,-99,16,50,85
48,1,2,3,4,B,J,A,2,3,4,B,J,A,I would choose slot machine B.,0,1,11,31,51
49,3,7,8,9,D,H,C,9,8,7,C,H,D,I would choose slot machine C.,1,1,8,51,85
50,1,2,3,4,B,J,A,2,4,3,B,A,J,I would choose slot machine B.,0,1,15,30,49
51,2,5,-99,6,E,--,F,6,-99,5,F,--,E,I would choose slot machine F.,1,1,14,0,83
