trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,2,4,5,E,G,4,5,E,G,I would choose slot machine G.,1,0,28,30
1,1,2,3,H,C,2,3,H,C,I would choose slot machine H.,0,1,20,24
2,3,6,7,D,B,6,7,D,B,I would choose slot machine D.,0,1,34,35
3,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,19,23
4,0,0,1,A,F,0,1,A,F,I would choose slot machine A.,0,1,15,17
5,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,15,18
6,2,4,5,E,G,4,5,E,G,I would choose slot machine G.,1,0,26,31
7,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,21,22
8,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,21,22
9,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,16,17
10,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,21,23
11,2,4,5,E,G,4,5,E,G,I would choose slot machine G.,1,0,27,29
12,2,4,5,E,G,5,4,G,E,I would choose slot machine G.,1,1,27,30
13,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,15,17
14,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,13,18
15,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,16,18
16,0,0,1,A,F,1,0,F,A,I would choose slot machine F.,1,1,15,18
17,1,2,3,H,C,2,3,H,C,I would choose slot machine C.,1,0,20,24
18,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,21,23
19,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,19,25
20,0,0,1,A,F,0,1,A,F,I would choose slot machine F.,1,0,15,19
21,1,2,3,H,C,3,2,C,H,I would choose slot machine C.,1,1,22,22
22,3,6,7,D,B,6,7,D,B,I would choose slot machine B.,1,0,31,34
23,3,6,7,D,B,7,6,B,D,I would choose slot machine B.,1,1,32,37
24,3,6,7,D,B,6,7,D,B,I would choose slot machine B.,1,0,32,35
