trial,context,L_index,H_index,L_option,H_option,left_index,right_index,left_option,right_option,choice,accuracy,chose_left,L_outcome,H_outcome
0,0,0,1,H,B,1,0,B,H,B,1,1,14,16
1,0,0,1,H,B,0,1,H,B,B,1,0,12,18
2,1,2,3,C,G,2,3,C,G,C,0,1,21,24
3,0,0,1,H,B,0,1,H,B,B,1,0,15,17
4,2,4,5,F,E,4,5,F,E,F,0,1,27,30
5,0,0,1,H,B,1,0,B,H,B,1,1,14,16
6,2,4,5,F,E,5,4,E,F,F,0,0,26,30
7,1,2,3,C,G,3,2,G,C,C,0,0,21,24
8,2,4,5,F,E,5,4,E,F,F,0,0,27,31
9,3,6,7,D,A,6,7,D,A,A,1,0,33,34
10,0,0,1,H,B,0,1,H,B,B,1,0,14,18
11,0,0,1,H,B,1,0,B,H,B,1,1,14,18
12,3,6,7,D,A,6,7,D,A,A,1,0,35,36
13,1,2,3,C,G,2,3,C,G,G,1,0,21,24
14,0,0,1,H,B,0,1,H,B,H,0,1,15,17
15,2,4,5,F,E,4,5,F,E,F,0,1,27,30
16,1,2,3,C,G,3,2,G,C,C,0,0,19,25
17,1,2,3,C,G,3,2,G,C,G,1,1,22,24
18,2,4,5,F,E,4,5,F,E,F,0,1,27,28
19,2,4,5,F,E,4,5,F,E,F,0,1,27,31
20,3,6,7,D,A,7,6,A,D,A,1,1,31,35
21,2,4,5,F,E,4,5,F,E,F,0,1,27,29
22,1,2,3,C,G,2,3,C,G,C,0,1,20,24
23,3,6,7,D,A,6,7,D,A,D,0,1,32,35
24,1,2,3,C,G,3,2,G,C,C,0,0,21,25
25,0,0,1,H,B,0,1,H,B,H,0,1,15,19
26,2,4,5,F,E,5,4,E,F,F,0,0,26,30
27,2,4,5,F,E,5,4,E,F,E,1,1,26,29
28,2,4,5,F,E,4,5,F,E,F,0,1,26,30
29,2,4,5,F,E,4,5,F,E,F,0,1,26,29
30,3,6,7,D,A,6,7,D,A,A,1,0,32,35
31,2,4,5,F,E,4,5,F,E,F,0,1,24,30
32,3,6,7,D,A,7,6,A,D,A,1,1,31,37
33,3,6,7,D,A,7,6,A,D,A,1,1,30,36
34,3,6,7,D,A,7,6,A,D,A,1,1,31,36
35,3,6,7,D,A,6,7,D,A,A,1,0,33,36
36,0,0,1,H,B,1,0,B,H,B,1,1,15,17
37,3,6,7,D,A,6,7,D,A,D,0,1,33,36
38,1,2,3,C,G,3,2,G,C,C,0,0,21,24
39,2,4,5,F,E,4,5,F,E,F,0,1,28,29
40,1,2,3,C,G,3,2,G,C,C,0,0,20,22
41,0,0,1,H,B,0,1,H,B,B,1,0,13,17
42,1,2,3,C,G,2,3,C,G,G,1,0,20,24
43,1,2,3,C,G,2,3,C,G,C,0,1,21,22
44,0,0,1,H,B,0,1,H,B,B,1,0,13,17
45,0,0,1,H,B,0,1,H,B,H,0,1,13,17
46,3,6,7,D,A,7,6,A,D,A,1,1,32,35
47,2,4,5,F,E,5,4,E,F,E,1,1,26,32
48,0,0,1,H,B,1,0,B,H,B,1,1,15,18
49,2,4,5,F,E,5,4,E,F,E,1,1,24,28
50,1,2,3,C,G,2,3,C,G,C,0,1,20,23
51,3,6,7,D,A,6,7,D,A,A,1,0,34,36
52,3,6,7,D,A,6,7,D,A,A,1,0,32,35
53,0,0,1,H,B,1,0,B,H,B,1,1,15,17
54,0,0,1,H,B,0,1,H,B,B,1,0,13,18
55,3,6,7,D,A,7,6,A,D,A,1,1,31,36
56,1,2,3,C,G,3,2,G,C,C,0,0,20,23
57,3,6,7,D,A,7,6,A,D,A,1,1,31,36
58,1,2,3,C,G,2,3,C,G,C,0,1,20,23
59,1,2,3,C,G,3,2,G,C,C,0,0,22,24
0,99,0,1,H,B,0,1,H,B,B,1,0,0,0
1,99,0,2,H,C,0,2,H,C,C,1,0,0,0
2,99,0,3,H,G,3,0,G,H,G,1,1,0,0
3,99,0,4,H,F,4,0,F,H,F,1,1,0,0
4,99,0,5,H,E,5,0,E,H,E,1,1,0,0
5,99,0,6,H,D,0,6,H,D,H,0,1,0,0
6,99,0,7,H,A,7,0,A,H,A,1,1,0,0
7,99,1,2,B,C,1,2,B,C,C,1,0,0,0
8,99,1,3,B,G,1,3,B,G,B,0,1,0,0
9,99,1,4,B,F,4,1,F,B,B,0,0,0,0
10,99,1,5,B,E,1,5,B,E,B,0,1,0,0
11,99,1,6,B,D,1,6,B,D,B,0,1,0,0
12,99,1,7,B,A,7,1,A,B,A,1,1,0,0
13,99,2,3,C,G,2,3,C,G,C,0,1,0,0
14,99,2,4,C,F,2,4,C,F,C,0,1,0,0
15,99,2,5,C,E,5,2,E,C,C,0,0,0,0
16,99,2,6,C,D,6,2,D,C,D,1,1,0,0
17,99,2,7,C,A,2,7,C,A,C,0,1,0,0
18,99,3,4,G,F,4,3,F,G,F,1,1,0,0
19,99,3,5,G,E,5,3,E,G,G,0,0,0,0
20,99,3,6,G,D,6,3,D,G,D,1,1,0,0
21,99,3,7,G,A,3,7,G,A,G,0,1,0,0
22,99,4,5,F,E,5,4,E,F,F,0,0,0,0
23,99,4,6,F,D,6,4,D,F,D,1,1,0,0
24,99,4,7,F,A,7,4,A,F,A,1,1,0,0
25,99,5,6,E,D,5,6,E,D,E,0,1,0,0
26,99,5,7,E,A,5,7,E,A,A,1,0,0,0
27,99,6,7,D,A,7,6,A,D,A,1,1,0,0
